size,height,waist,hips
M5824,58,24.5,30
M5826,58,26.5,32
M6126,61,26.5,32
M5827,58,27.5,33
M6127,61,27.5,33
M6427,64,27.5,33
M6128,61,28.5,34
M6428,64,28.5,34
M6728,67,28.5,34
M7028,70,28.5,34
M7328,73,28.5,34
M7928,79,28.5,34
M6129,61,29.5,35
M6429,64,29.5,35
M6729,67,29.5,35
M6430,64,30.5,36
M6730,67,30.5,36
M7030,70,30.5,36
M7330,73,30.5,36
M7630,76,30.5,36
M7930,79,30.5,36
M6131,61,31.5,37
M6431,64,31.5,37
M6731,67,31.5,37
M6432,64,32.5,38
M6732,67,32.5,38
M7032,70,32.5,38
M7332,73,32.5,38
M7632,76,32.5,38
M7932,79,32.5,38
M6433,64,33.5,39
M6733,67,33.5,39
M6134,61,34.5,40
M6434,64,34.5,40
M6734,67,34.5,40
M7034,70,34.5,40
M7334,73,34.5,40
M7634,76,34.5,40
M7934,79,34.5,40
M8034,80,34.5,40
M6136,61,36.5,42
M6436,64,36.5,42
M6736,67,36.5,42
M7036,70,36.5,42
M7336,73,36.5,42
M7636,76,36.5,42
M7936,79,36.5,42
M8036,80,36.5,42
M6138,61,38.5,44
M6438,64,38.5,44
M6738,67,38.5,44
M7038,70,38.5,44
M7338,73,38.5,44
M7638,76,38.5,44
M7938,79,38.5,44
M8038,80,38.5,44
M6140,61,40.5,46
M6440,64,40.5,46
M6740,67,40.5,46
M7040,70,40.5,46
M7340,73,40.5,46
M7640,76,40.5,46
M7940,79,40.5,46
M8040,80,40.5,46
M6142,61,42.5,48
M6442,64,42.5,48
M7042,70,42.5,48
M7342,73,42.5,48
M7642,76,42.5,48
M7942,79,42.5,48
M8042,80,42.5,48
M6144,61,44.5,50
M6444,64,44.5,50
M7044,70,44.5,50
M7344,73,44.5,50
M7644,76,44.5,50
M8044,80,44.5,50
M6146,61,46.5,52
M6446,64,46.5,52
M7046,70,46.5,52
M7346,73,46.5,52
M7646,76,46.5,52
M8046,80,46.5,52
M6448,64,48.5,54
M7048,70,48.5,54
M7648,76,48.5,54
M8048,80,48.5,54
M6450,64,50.5,56
M7050,70,50.5,56
M7650,76,50.5,56
M8050,80,50.5,56
M6452,64,52.5,58
M7052,70,52.5,58
M7652,76,52.5,58
M8052,80,52.5,58
M6454,64,54.5,60
M7054,70,54.5,60
M7654,76,54.5,60
M8054,80,54.5,60
M6456,64,56.5,62
M7056,70,56.5,62
M7656,76,56.5,62
M8056,80,56.5,62
M6458,64,58.5,64
M7058,70,58.5,64
M7658,76,58.5,64
M8058,80,58.5,64
M7060,70,60.5,66
M7660,76,60.5,66
M8060,80,60.5,66
M7062,70,62.5,68
M8062,80,62.5,68
